site,population,variant,region,parameter,committed,with_anonymous,pct_change,n_users_baseline,n_users_variant,n_sessions_baseline,n_sessions_variant
caltech,acn_caltech_baseline,literal,rare_inconsistent,arrival.mu1,9.222871736854186,9.228056529929924,0.05621668850733408,266,266,13395,15508
caltech,acn_caltech_baseline,literal,rare_inconsistent,arrival.mu2,14.104465162434579,14.065828277906691,-0.2739337088143694,266,266,13395,15508
caltech,acn_caltech_baseline,literal,rare_inconsistent,arrival.sigma1,0.9464452186076698,0.9543355318158263,0.8336788070802487,266,266,13395,15508
caltech,acn_caltech_baseline,literal,rare_inconsistent,arrival.sigma2,3.7354186945409396,3.6591583121927456,-2.0415484470226417,266,266,13395,15508
caltech,acn_caltech_baseline,literal,rare_inconsistent,arrival.w1,0.46149507492039055,0.4568709393124543,-1.0019902398165157,266,266,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,arrival.mu1,9.306796383269273,9.293812936899151,-0.13950500081275766,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,arrival.mu2,16.054454725631263,15.87864333110999,-1.095094150040408,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,arrival.sigma1,1.237012075795938,1.2253304972783405,-0.9443382765751166,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,arrival.sigma2,3.0440335874622475,3.113243063217139,2.273610778801884,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,arrival.w1,0.3898407343323195,0.37627850018099346,-3.4789166336232453,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,copula.rho_gaussian,-0.39795264481953246,-0.3909797917440366,1.7521816141360256,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,copula.rho_spearman,-0.38257011810429364,-0.3757781120000458,1.7753624192876085,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,dwell.k1,2.3963852077737293,2.2902941311654894,-4.427129505894413,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,dwell.k2,1.336764230414141,1.338051383130127,0.09628868626948123,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,dwell.lambda1,1.5734567811752687,1.6331598897527533,3.794391386644273,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,dwell.lambda2,9.28576568719199,9.44031700719005,1.6643896174467863,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,dwell.w1,0.5749002538991658,0.6044951358604496,5.147828994779774,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,soc_arrival.alpha,3.665699556102154,3.6737519836236054,0.21966959916414103,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,soc_arrival.beta,5.512859277278692,5.536506426804172,0.4289452775067469,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,soc_depart.alpha,0.986189340642398,0.9625578605765315,-2.3962416842259886,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_consistent,soc_depart.beta,0.37184345064413793,0.39135181799271906,5.246392618933352,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_inconsistent,arrival.mu1,9.222871736854186,9.228056529929924,0.05621668850733408,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_inconsistent,arrival.mu2,14.104465162434579,14.065828277906691,-0.2739337088143694,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_inconsistent,arrival.sigma1,0.9464452186076698,0.9543355318158263,0.8336788070802487,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_inconsistent,arrival.sigma2,3.7354186945409396,3.6591583121927456,-2.0415484470226417,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,rare_inconsistent,arrival.w1,0.46149507492039055,0.4568709393124543,-1.0019902398165157,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,regular_charger,arrival.mu1,9.209263617423684,9.206488229297069,-0.030136916933988952,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,regular_charger,arrival.mu2,12.0748272682406,12.607117804111853,4.4082662554626495,266,2379,13395,15508
caltech,acn_caltech_baseline,forced,regular_charger,arrival.sigma1,0.8746061289908252,0.9425166866913467,7.7647017839768475,266,2379,13395,15508
