metric,label,n,mean,sd,cv,p5,p50,p95,iqr,range_p5_p95,within_cell_sd,within_cell_cv,var_share_building,var_share_month,var_share_sampling
bl_peak_kw,building peak (kW),24000,290.0,167.0364108463766,0.5759876236081952,50.0,275.0,600.0,250.0,550.0,1.9457459481550026e-14,6.259794125891305e-17,1.0,0.0,0.0
bl_mean_kw,building mean (kW),24000,142.6898240999671,105.08767916818626,0.7364763383166192,16.469611299688403,116.21527161193879,332.8350767207819,173.4109142715756,316.3654654210935,7.567734029404476,0.05724029732590604,0.9590737124284817,0.03302777734341354,0.007898510228104713
bl_energy_mwh,building energy (MWh),24000,104.5082237677678,77.16683041558593,0.7383804607287332,12.052536801211966,86.46416207928246,245.8581164706786,127.91196115879207,233.80557966946662,5.538249572670691,0.05724029732590604,0.9544425105259767,0.037711549646309996,0.007845939827713316
bl_load_factor,load factor,24000,0.4407284324026523,0.11797809175603852,0.26768886026452904,0.3009677943877451,0.42030643872884005,0.6439837973241419,0.21126232681831747,0.3430160029363968,0.024452917762737204,0.05724029732590604,0.8056251176469141,0.148492569272872,0.04588231308021389
pv_energy_mwh,PV energy (MWh),24000,39.794385628723916,27.17433465589995,0.6828685561182604,6.795513317753155,34.03559829705055,95.66688952350988,36.88516838705697,88.87137620575672,3.641278801814738,0.09276589816498149,0.7110187529183255,0.2637723597676685,0.025208887314005977
pv_capacity_factor,PV capacity factor,24000,0.18723678483663964,0.059031842752168925,0.3152790879402946,0.09839492123264093,0.19178272406602634,0.2764495455941499,0.1064476302567321,0.17805462436150898,0.0172144862296052,0.09276589816498149,0.0007049099832327816,0.9081719651940279,0.09112312482273938
net_peak_kw,net peak (kW),24000,230.1669142633557,143.3662938420934,0.6228796797356134,39.0133377982002,210.73685582587083,500.0,214.18376833492297,460.9866622017998,12.08569864783389,0.061348413854951114,0.8938015933875412,0.09600829814629731,0.010190108466161496
net_min_kw,"net min (kW, <0 export)",24000,-107.4125865605738,61.463914136379564,0.5722226426575983,-218.30086500197743,-103.50680852298754,-22.347650122264596,80.08675552960119,195.95321487971285,18.193047581941567,1.172106548770338,0.46823715176263975,0.4131937319421486,0.1185691162952117
wx_mean_temp_c,mean dry-bulb (degC),24000,14.889883262913527,6.47904786852209,0.43513087068046796,4.217511505376344,14.931853281423804,25.379686666666665,8.999654525089607,21.16217516129032,5.1177286773601525,0.37214347814327303,0.002518471241517645,0.3750067526915575,0.6224747760669248
wx_mean_ghi,mean GHI (W/m2),24000,221.44714747978475,86.37666621705051,0.3900554475416559,98.40926901881721,223.10277096774195,354.22689619444446,159.27911645833333,255.81762717562725,21.96110997972094,0.09915534628765936,0.0005482242048791464,0.9259016911779093,0.07355008461721158
n_sessions,EV sessions,24000,286.7824166666667,98.12468221457947,0.34215724713915036,114.0,296.0,439.0,146.0,325.0,28.627126985520785,0.10960405100866523,0.8941709706988294,0.019381988680792495,0.08644704062037811
ev_energy_mwh,EV energy (MWh),24000,3.7059441063804526,1.285480439048439,0.3468698939185974,1.4508694554952701,3.8148108843095887,5.701582365362202,1.895941672207075,4.250712909866932,0.42147185177614005,0.12416021089997532,0.8715498724190427,0.019151042888725635,0.10929908469223168
arr_hour_mean,mean arrival hour,24000,8.601110191500286,0.22020101547010879,0.025601464295587552,8.267724809052947,8.588557993730408,8.97727762539185,0.27308427487472287,0.7095528163389027,0.20841257753819928,0.024205984670679467,0.056556447404680014,0.004180681110029654,0.9392628714852903
dwell_h_mean,mean dwell (h),24000,7.011916996595422,0.2057033073937852,0.029336243924972694,6.6734943816343915,7.016461506560097,7.336364826273202,0.26031703221660507,0.662870444638811,0.19871014928013728,0.02836056019130707,0.02117257863324238,0.005031900597447884,0.9737955207693098
req_soc_mean,mean required SoC (%),24000,57.02083795273056,4.253307119685584,0.07459215389313488,50.20185035091505,56.96971433593226,64.04991248497993,5.473837591226413,13.848062134064875,4.164561312358801,0.07300284166386889,0.0036728903043628676,0.0032075224561426874,0.9931195872394945
peak_concurrency,peak concurrent EVs,24000,14.001,4.055471729912934,0.2896558624321787,7.0,14.0,20.0,6.0,13.0,1.402212707164793,0.10517226680688833,0.8779855055002316,0.00034459442153929624,0.12166990007822914
