metric,label,n,mean,sd,cv,p5,p50,p95,iqr,range_p5_p95,within_cell_sd,within_cell_cv,var_share_building,var_share_month,var_share_sampling
bl_peak_kw,building peak (kW),24000,290.0,167.0364108463766,0.5759876236081952,50.0,275.0,600.0,250.0,550.0,1.934303781204915e-14,6.190781866127977e-17,1.0,0.0,0.0
bl_mean_kw,building mean (kW),24000,142.02160008939492,104.61253171599172,0.7365959237900699,16.265971464730704,111.58172113643539,329.782669480221,172.53174425998992,313.5166980154903,4.8077024941918465,0.03520190481615729,0.9633907191497052,0.033114896014853894,0.0034943848354408785
bl_energy_mwh,building energy (MWh),24000,104.02366132227868,76.84059593764994,0.7386838240541052,11.92155878021019,82.76664722842304,244.09629042181902,127.61032455815698,232.17473164160884,3.5182647728943857,0.03520190481615729,0.9583590005649713,0.0381661743740359,0.003474825060992837
bl_load_factor,load factor,24000,0.43797679794199107,0.11753613956471409,0.2683615664505622,0.30265374770831754,0.4163252749114239,0.6388181762870556,0.21035426339219393,0.3361644285787381,0.015161066087439886,0.03520190481615729,0.8294229485897361,0.15136722762696972,0.019209823783294257
pv_energy_mwh,PV energy (MWh),24000,39.84090805148099,26.969896364241908,0.6769398009049488,7.0330963583866275,34.63111477269075,94.70596113883974,36.79970805118249,87.67286478045311,1.8514149272918672,0.046961388637611706,0.7236040950211462,0.26974870284425834,0.0066472021345955305
pv_capacity_factor,PV capacity factor,24000,0.18751925680934436,0.057222295691739304,0.3051542367721662,0.10034808444857306,0.1945666556598042,0.26615799175728444,0.11138286978705014,0.16580990730871137,0.00875846541292575,0.046961388637611706,0.0002009063874992033,0.9745423198982139,0.0252567737142869
net_peak_kw,net peak (kW),24000,227.74255863181497,141.9643271689335,0.6233544051748503,38.26916714177644,208.89986167091854,493.2580988909085,212.13300083854278,454.98893174913206,7.974497327809818,0.0397335254375984,0.8953908280878649,0.09990575933453899,0.0047034125775961815
net_min_kw,"net min (kW, <0 export)",24000,-108.43352131794478,59.312050802273795,0.5469899905616934,-213.3529684615616,-105.36258857385725,-22.01703283829656,76.6363906223089,191.33593562326504,10.057351481012525,0.6093386282325337,0.5155009383101262,0.44501727730508595,0.039481784384787784
wx_mean_temp_c,mean dry-bulb (degC),24000,14.942320012913525,4.7318193574767635,0.31667233424176483,7.30567347670251,14.9794,22.361074238351257,7.3038905913978525,15.055400761648748,2.5757593778065124,0.18645162259638112,0.001173560525745332,0.7030806606116785,0.2957457788625761
wx_mean_ghi,mean GHI (W/m2),24000,221.47582119937613,83.95030542093869,0.37904952769252975,100.0309733198925,225.44781306675623,340.23356369444446,166.8446558405173,240.20259037455196,10.980537418078775,0.04957406082724558,0.00014512691687581527,0.9803891300311381,0.01946574305198614
n_sessions,EV sessions,24000,286.7824166666667,98.12468221457947,0.34215724713915036,114.0,296.0,439.0,146.0,325.0,28.627126985520785,0.10960405100866523,0.8941709706988294,0.019381988680792495,0.08644704062037811
ev_energy_mwh,EV energy (MWh),24000,3.7059441063804526,1.285480439048439,0.3468698939185974,1.4508694554952701,3.8148108843095887,5.701582365362202,1.895941672207075,4.250712909866932,0.42147185177614005,0.12416021089997532,0.8715498724190427,0.019151042888725635,0.10929908469223168
arr_hour_mean,mean arrival hour,24000,8.601110191500286,0.22020101547010879,0.025601464295587552,8.267724809052947,8.588557993730408,8.97727762539185,0.27308427487472287,0.7095528163389027,0.20841257753819928,0.024205984670679467,0.056556447404680014,0.004180681110029654,0.9392628714852903
dwell_h_mean,mean dwell (h),24000,7.011916996595422,0.2057033073937852,0.029336243924972694,6.6734943816343915,7.016461506560097,7.336364826273202,0.26031703221660507,0.662870444638811,0.19871014928013728,0.02836056019130707,0.02117257863324238,0.005031900597447884,0.9737955207693098
req_soc_mean,mean required SoC (%),24000,57.02083795273056,4.253307119685584,0.07459215389313488,50.20185035091505,56.96971433593226,64.04991248497993,5.473837591226413,13.848062134064875,4.164561312358801,0.07300284166386889,0.0036728903043628676,0.0032075224561426874,0.9931195872394945
peak_concurrency,peak concurrent EVs,24000,14.001,4.055471729912934,0.2896558624321787,7.0,14.0,20.0,6.0,13.0,1.402212707164793,0.10517226680688833,0.8779855055002316,0.00034459442153929624,0.12166990007822914
